"country_of_residence","inputstate","res_region","res_division","votereg","ND_votereg","inputregstate","reg_region","reg_division","birthyr","age5","state_election_type","primaryvote","partyvote","ENTHUSIM","gnddirect","CHOICE20_MD1_1","CHOICE20_MD1_2","CHOICE20_MD1_3","CHOICE20_MD1_4","CHOICE20_MD1_5","CHOICE20_MD2_1","CHOICE20_MD2_2","CHOICE20_MD2_3","CHOICE20_MD2_4","CHOICE20_MD2_5","CHOICE20_MD3_1","CHOICE20_MD3_2","CHOICE20_MD3_3","CHOICE20_MD3_4","CHOICE20_MD3_5","CHOICE20_MD4_1","CHOICE20_MD4_2","CHOICE20_MD4_3","CHOICE20_MD4_4","CHOICE20_MD4_5","CHOICE20_MD5_1","CHOICE20_MD5_2","CHOICE20_MD5_3","CHOICE20_MD5_4","CHOICE20_MD5_5","CHOICE20_MD6_1","CHOICE20_MD6_2","CHOICE20_MD6_3","CHOICE20_MD6_4","CHOICE20_MD6_5","CHOICE20_MD7_1","CHOICE20_MD7_2","CHOICE20_MD7_3","CHOICE20_MD7_4","CHOICE20_MD7_5","CHOICE20_MD8_1","CHOICE20_MD8_2","CHOICE20_MD8_3","CHOICE20_MD8_4","CHOICE20_MD8_5","CHOICE20_MD9_1","CHOICE20_MD9_2","CHOICE20_MD9_3","CHOICE20_MD9_4","CHOICE20_MD9_5","CHOICE20_MD10_1","CHOICE20_MD10_2","CHOICE20_MD10_3","CHOICE20_MD10_4","CHOICE20_MD10_5","CHOICE20_MD11_1","CHOICE20_MD11_2","CHOICE20_MD11_3","CHOICE20_MD11_4","CHOICE20_MD11_5","CHOICE20_MD12_1","CHOICE20_MD12_2","CHOICE20_MD12_3","CHOICE20_MD12_4","CHOICE20_MD12_5","CHOICE20_MD13_1","CHOICE20_MD13_2","CHOICE20_MD13_3","CHOICE20_MD13_4","CHOICE20_MD13_5","CHOICE20_MD14_1","CHOICE20_MD14_2","CHOICE20_MD14_3","CHOICE20_MD14_4","CHOICE20_MD14_5","CHOICE20_MD15_1","CHOICE20_MD15_2","CHOICE20_MD15_3","CHOICE20_MD15_4","CHOICE20_MD15_5","CHOICE20_MD16_1","CHOICE20_MD16_2","CHOICE20_MD16_3","CHOICE20_MD16_4","CHOICE20_MD16_5","CHOICE20_MD17_1","CHOICE20_MD17_2","CHOICE20_MD17_3","CHOICE20_MD17_4","CHOICE20_MD17_5","cand_allocator_djt_1","cand_allocator_col_1","cand_allocator_wom_1","cand_allocator_yng_1","cand_allocator_m4a_1","cand_allocator_abt_1","cand_allocator_ira_1","cand_allocator_rep_1","cand_allocator_fp_1","cand_allocator_exp_1","cand_allocator_leg_1","cand_allocator_ice_1","cand_allocator_env_1","cand_allocator_min_1","cand_allocator_rur_1","cand_allocator_tax_1","cand_allocator_oil_1","cand_allocator_imp_1","app_dtrmp","turnout16","presvote16post","presvote16post_t","turnout18post","housevote18post","housevote18post_t","pid3","pid3_t","pid7","pid3_condensed","ideo5","ideo3","pp18_polactions_1","pp18_polactions_2","pp18_polactions_3","pp18_polactions_4","pp18_polactions_5","pp18_polactions_6","pp18_polactions_7","pp18_polactions_8","pp18_polactions_t","gender","educ","educ4","educ2","race","race_t","race4","race3","race2","hispanic","anychild","child18","marstat","urbancity","urbancity_t","faminc_new","faminc5","employ","job","union_combined_1","union_combined_5","union_combined_2","union_combined_6","union_combined_3","union_combined_4","newsint","religpew","religpew_t","pew_bornagain","pew_churatd","weight"
840,17,2,3,1,,17,2,3,1942,5,2,1,1,0,4,,2,,1,,1,,,,2,1,,2,,,2,,,,1,1,,2,,,1,2,,,,,,1,2,,,1,,2,,2,1,,,,1,,,2,,,1,,2,,,,1,,2,2,1,,,,,2,,1,,2,,,1,,1,,2,,,2,,1,,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,"__NA__",1,1,"__NA__",3,"__NA__",4,3,4,3,0,0,0,0,0,0,0,1,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,1,2,1,2,"__NA__",97,6,5,"__NA__",0,0,0,0,1,0,1,1,"__NA__",1,2,0.4821
840,30,4,8,1,,30,4,8,1952,5,2,1,3,8,3,1,2,,,,2,1,,,,,1,,2,,,,1,,2,,1,,,2,,1,,,2,2,,1,,,,,1,,2,,,1,,2,,,1,,2,2,,,1,,,1,,,2,2,,1,,,2,1,,,,,,2,,1,1,,,,2,2,1,,,,0,0,0,25,19,0,7,11,0,0,0,0,35,0,3,0,0,0,2,2,7,"__NA__",1,2,"__NA__",3,"__NA__",5,3,3,2,0,0,0,0,0,0,0,1,"__NA__",2,3,2,1,1,"__NA__",1,1,1,2,1,2,1,3,"__NA__",5,2,5,"__NA__",0,0,0,0,1,0,2,1,"__NA__",2,3,0.3577
840,48,3,7,1,,48,3,7,1983,2,2,1,1,2,1,,,,1,2,2,,,,1,,,1,2,,2,1,,,,,,,1,2,,,1,,2,2,,,1,,1,,,,2,,,1,,2,,,2,1,,2,,,,1,2,,,1,,1,,,,2,2,,,,1,,1,2,,,1,,,,2,,,,2,1,0,0,0,7,0,0,26,0,0,0,0,10,27,10,0,10,10,0,4,2,7,"__NA__",1,1,"__NA__",1,"__NA__",2,1,3,2,1,0,1,0,1,1,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,2,2,1,2,"__NA__",12,5,1,"__NA__",0,0,0,0,1,0,1,1,"__NA__",2,4,0.9589
840,42,1,2,1,,42,1,2,1966,3,2,1,2,5,4,1,,2,,,2,,,1,,,2,1,,,1,,2,,,,1,,,2,1,2,,,,2,,,,1,,,1,2,,2,,,,1,,,2,1,,2,1,,,,1,,,,2,,,,1,2,2,,1,,,,,,1,2,2,,,1,,,,1,2,,3,9,0,0,0,0,10,0,20,21,18,0,0,19,0,0,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,5,3,0,0,0,0,0,1,0,0,"__NA__",2,4,2,1,1,"__NA__",1,1,1,2,1,2,1,1,"__NA__",4,2,7,"__NA__",0,0,1,0,0,0,2,2,"__NA__",2,2,0.8461
840,54,3,5,1,,54,3,5,1960,4,2,1,2,7,5,2,,1,,,1,2,,,,,2,,1,,2,,,,1,,,,2,1,2,,,,1,1,,2,,,,,2,1,,2,,1,,,2,,1,,,1,,,2,,2,1,,,,2,,1,,,1,,2,,,,2,,,1,2,,,,1,,,,1,2,2,3,3,3,3,1,4,12,4,10,4,3,3,7,30,3,3,2,1,2,7,"__NA__",2,,"__NA__",2,"__NA__",7,2,5,3,0,0,0,0,0,0,0,1,"__NA__",2,1,1,1,1,"__NA__",1,1,1,2,1,1,1,4,"__NA__",4,2,7,"__NA__",0,0,0,0,1,0,2,12,"__NA__",2,4,0.806
840,48,3,7,1,,48,3,7,1988,2,2,1,2,8,5,,2,,,1,1,,2,,,,2,,1,,,,,1,2,1,2,,,,,1,2,,,1,,,2,,,1,,,2,2,,,,1,1,,2,,,2,1,,,,2,1,,,,,2,,1,,1,2,,,,,2,,,1,2,,,1,,2,1,,,,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",6,2,3,2,0,0,0,0,0,0,0,1,"__NA__",2,5,3,2,7,"Greek",4,1,2,2,1,2,5,2,"__NA__",8,3,1,"__NA__",0,0,0,0,1,0,1,4,"__NA__",2,6,0.8316
840,19,2,4,1,,19,2,4,1954,5,1,4,2,8,5,2,1,,,,2,,,,1,2,,1,,,,,2,,1,2,,,1,,2,,,,1,2,,1,,,1,,2,,,2,,1,,,,2,1,,,,2,1,,,2,,,1,,,2,1,,,,1,,2,,,2,,1,,,1,2,,,2,,1,,,0,0,0,0,0,0,0,38,33,1,5,0,0,0,8,0,15,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",6,2,3,2,0,0,1,1,1,0,0,0,"__NA__",2,4,2,1,1,"__NA__",1,1,1,2,1,2,3,3,"__NA__",2,1,6,"__NA__",0,0,0,0,1,0,1,1,"__NA__",2,5,0.6048
840,53,4,9,1,,53,4,9,1995,1,2,1,1,10,1,,1,,,2,,1,,2,,,1,,,2,,2,,1,,1,2,,,,,,1,,2,,,,1,2,,,1,2,,1,,,,2,,1,,2,,,1,2,,,1,2,,,,1,2,,,,,1,,,2,,1,,,2,1,,2,,,,,1,2,,3,6,10,7,7,12,4,0,3,6,6,4,13,0,12,7,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,1,0,1,0,0,0,"__NA__",2,3,2,1,1,"__NA__",1,1,1,2,2,2,5,2,"__NA__",6,2,2,"__NA__",0,0,0,1,0,0,2,11,"__NA__",2,6,2.3359
840,29,2,4,1,,29,2,4,1980,2,2,1,1,10,1,2,,,,1,1,,,,2,,1,,,2,1,,2,,,1,,,2,,1,,,2,,,,1,2,,,,1,,2,1,,,2,,,2,1,,,1,,2,,,1,,2,,,1,,,,2,1,,,,2,,,,1,2,,1,,2,,2,,1,,,35,0,2,0,2,10,0,12,10,10,5,0,12,0,2,0,0,0,4,1,1,"__NA__",1,1,"__NA__",3,"__NA__",3,3,3,2,0,0,1,0,1,0,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,2,2,5,1,"__NA__",11,4,1,"__NA__",0,0,0,0,1,0,2,10,"__NA__",2,5,1.285
840,42,1,2,1,,42,1,2,1990,1,2,1,1,7,1,,,2,,1,1,,,,2,2,1,,,,,1,2,,,2,1,,,,2,,1,,,,,1,2,,2,,1,,,1,2,,,,,,1,,2,1,,,2,,1,,2,,,,1,,,2,1,2,,,,,,,1,2,2,1,,,,,2,1,,,0,25,0,0,25,0,25,0,0,0,0,25,0,0,0,0,0,0,3,1,3,"__NA__",1,2,"__NA__",1,"__NA__",2,1,2,1,0,0,0,0,0,0,0,1,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,2,2,1,1,"__NA__",9,3,1,"__NA__",0,0,0,0,1,0,3,10,"__NA__",2,5,0.4101
840,36,1,2,1,,36,1,2,1956,4,2,1,1,10,1,,1,,2,,2,1,,,,2,1,,,,,1,,,2,2,1,,,,,,1,2,,2,,1,,,1,2,,,,1,,,,2,,2,,1,,2,1,,,,2,,,,1,,1,,2,,2,1,,,,,1,,,2,1,,,,2,,2,1,,,0,0,0,0,36,3,5,0,0,0,0,0,2,4,0,37,13,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,1,1,1,1,0,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,1,2,1,1,"__NA__",12,5,1,"__NA__",1,0,0,0,0,0,1,11,"__NA__",2,5,0.8604
840,41,4,9,1,,41,4,9,1950,5,2,5,1,10,1,1,,,,2,,1,,,2,,,1,,2,1,,,,2,,,1,,2,,1,,,2,,,,1,2,1,,,2,,1,,,2,,,1,,2,,,1,,,2,1,,,,2,,,1,,2,,,1,2,,1,,2,,,1,,2,,,,,,2,1,19,0,0,0,10,9,0,0,7,5,9,0,8,5,0,23,0,5,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,2,1,0,0,1,0,1,1,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,2,2,1,1,"__NA__",9,3,5,"__NA__",0,0,0,0,1,0,1,5,"__NA__",2,6,0.6097
840,34,1,2,1,,34,1,2,1964,4,2,1,2,5,5,,2,,1,,,1,2,,,2,1,,,,1,,2,,,2,,,1,,,1,2,,,2,1,,,,2,,1,,,2,,1,,,,2,,1,,2,,,,1,,,,2,1,,2,1,,,,2,,,1,,1,,2,,2,,1,,,1,2,,,,6,0,0,0,0,38,0,23,0,0,0,4,0,0,0,0,25,4,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,4,3,0,0,0,0,0,0,0,1,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,2,2,5,1,"__NA__",6,2,1,"__NA__",0,0,0,0,1,0,2,1,"__NA__",2,6,0.9179
840,4,4,8,1,,4,4,8,1935,5,2,1,2,10,5,,2,,1,,1,,,2,,2,,1,,,1,,,,2,,2,,1,,2,1,,,,1,,2,,,,,,1,2,2,1,,,,1,,2,,,1,2,,,,2,,,1,,,2,,1,,1,2,,,,1,,,2,,2,,,1,,,,2,,1,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",6,2,3,2,0,0,0,0,0,0,1,0,"__NA__",1,3,2,1,1,"__NA__",1,1,1,2,1,2,1,2,"__NA__",4,2,5,"__NA__",0,0,0,0,1,0,1,1,"__NA__",2,5,0.5797
840,17,2,3,1,,17,2,3,1964,4,2,1,1,8,2,2,,1,,,1,,,2,,1,2,,,,,1,2,,,1,2,,,,,2,,,1,1,2,,,,1,,2,,,1,,2,,,,,2,1,,1,,,2,,1,,2,,,,,2,,1,,1,,2,,,,,1,2,1,2,,,,1,,2,,,10,20,0,0,20,10,0,0,0,0,0,0,0,30,0,0,10,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,2,1,0,0,0,0,0,0,1,0,"__NA__",2,5,3,2,2,"__NA__",2,2,2,2,1,1,2,1,"__NA__",5,2,1,"__NA__",0,0,0,0,1,0,2,1,"__NA__",2,3,1.308
840,24,3,5,1,,24,3,5,1974,3,2,1,1,10,2,,1,2,,,,1,,2,,,1,,,2,1,2,,,,1,2,,,,1,,,2,,,,1,,2,,,1,2,,1,,,2,,,2,1,,,,1,,2,,1,,,,2,2,,1,,,,2,1,,,,1,2,,,2,1,,,,,2,1,,,20,0,0,0,11,20,0,0,11,3,0,0,11,12,0,12,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,0,0,0,1,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,5,3,"__NA__",11,4,1,"__NA__",0,0,0,0,1,0,1,1,"__NA__",2,5,0.8848
840,36,1,2,1,,36,1,2,1945,5,2,1,1,10,2,,1,,2,,2,1,,,,,1,,,2,,1,2,,,1,2,,,,1,2,,,,2,,1,,,2,,1,,,1,,,,2,2,,1,,,,1,2,,,1,,,2,,1,2,,,,,2,,,1,,1,,,2,2,1,,,,1,,,2,,90,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,0,0,0,0,0,1,"__NA__",1,4,2,1,1,"__NA__",1,1,1,2,1,2,1,3,"__NA__",13,5,5,"__NA__",0,1,0,0,0,0,1,9,"__NA__",2,6,0.4126
840,13,3,5,1,,13,3,5,1981,2,2,2,2,5,3,,2,,,1,2,,,,1,,2,,1,,1,,2,,,1,2,,,,,,2,1,,2,,,1,,2,1,,,,1,2,,,,,,2,1,,2,,,,1,1,,2,,,1,,,,2,,2,,1,,,2,,,1,2,,,1,,,,2,,1,0,50,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,4,3,0,0,0,0,0,0,0,1,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,1,1,1,4,"__NA__",4,2,7,"__NA__",0,0,0,0,1,0,3,1,"__NA__",1,1,0.9665
840,26,2,3,1,,26,2,3,1987,2,2,1,1,9,1,,1,2,,,1,,,,2,,1,,,2,,1,,,2,1,,2,,,1,,,,2,1,2,,,,1,,,,2,1,,,,2,1,,2,,,1,,,,2,1,2,,,,1,,2,,,,,1,2,,,,,1,2,1,,,,2,1,,,2,,9,0,7,0,10,11,0,2,8,14,16,0,10,3,0,10,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,1,0,1,0,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,2,2,1,2,"__NA__",10,4,1,"__NA__",1,0,0,0,0,0,1,11,"__NA__",2,6,0.9713
840,36,1,2,1,,36,1,2,1984,2,2,2,2,7,1,,2,,1,,1,,,2,,2,,1,,,,1,,2,,1,2,,,,2,,1,,,,1,2,,,,,,1,2,2,1,,,,1,,2,,,,2,1,,,,1,,,2,,2,,,1,1,,,2,,,,1,2,,,,,1,2,,2,,1,,0,0,5,4,7,0,0,14,0,13,5,0,27,13,0,9,3,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",6,2,3,2,0,0,0,0,1,0,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,1,1,1,1,"__NA__",11,4,1,"__NA__",0,0,0,0,1,0,2,2,"__NA__",2,5,1.403
840,29,2,4,1,,29,2,4,1964,4,2,1,2,10,5,,2,,1,,1,,2,,,,2,1,,,,2,,1,,,2,,1,,,,2,,1,,1,2,,,,,2,1,,2,1,,,,1,,2,,,,2,,,1,2,,,1,,,2,1,,,1,,,,2,,2,,,1,,2,,1,,,,2,,1,0,0,0,0,0,0,0,0,25,0,50,0,0,0,25,0,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,5,3,0,0,1,0,1,1,1,0,"__NA__",2,3,2,1,1,"__NA__",1,1,1,2,1,2,3,5,"__NA__",3,1,2,"__NA__",0,0,0,0,1,0,1,1,"__NA__",1,4,0.9276
840,6,4,9,1,,6,4,9,1984,2,2,1,1,10,1,2,1,,,,,,,2,1,,1,2,,,,1,2,,,1,2,,,,2,,1,,,1,2,,,,2,,1,,,1,,,2,,2,,,1,,1,,,2,,,,2,,1,1,2,,,,,2,,,1,1,,,2,,2,,1,,,1,,2,,,0,0,20,0,30,0,0,10,0,10,0,0,10,0,0,10,10,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,2,1,0,0,0,0,1,0,0,0,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,1,1,1,1,"__NA__",12,5,1,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,4,0.766
840,6,4,9,1,,6,4,9,1938,5,2,1,1,10,1,1,,2,,,2,1,,,,2,1,,,,,1,2,,,,2,1,,,,1,,2,,2,,,1,,1,,,2,,1,,,2,,,2,1,,,,1,,2,,1,,2,,,1,2,,,,2,1,,,,,1,,,2,1,2,,,,1,2,,,,0,0,0,0,47,0,0,0,0,0,0,0,53,0,0,0,0,0,4,1,4,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,1,0,1,1,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,1,2,6,2,"__NA__",10,4,1,"__NA__",1,0,0,0,0,0,1,9,"__NA__",2,6,0.5048
840,37,3,5,1,,37,3,5,1939,5,2,1,1,10,1,1,,2,,,1,2,,,,,1,,,2,1,2,,,,1,,,2,,1,,,,2,1,,,,2,2,,1,,,,1,,,2,1,,2,,,1,,2,,,1,,,2,,2,1,,,,1,,,,2,,1,2,,,2,1,,,,2,,1,,,20,0,0,0,20,10,0,0,0,10,10,0,20,0,0,0,10,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,0,0,0,0,0,1,0,0,"__NA__",1,6,4,2,1,"__NA__",1,1,1,2,2,2,1,2,"__NA__",14,5,5,"__NA__",0,0,0,0,1,0,1,11,"__NA__",2,6,0.6216
840,27,2,4,1,,27,2,4,1973,3,2,1,1,10,2,1,,,2,,2,1,,,,,1,,2,,1,2,,,,,2,,1,,,1,,2,,1,,2,,,1,2,,,,2,,1,,,,2,1,,,2,1,,,,2,,,1,,,,1,2,,2,1,,,,,1,,2,,1,2,,,,,,2,,1,15,0,0,0,10,20,0,0,0,5,0,0,5,0,0,15,10,20,4,1,6,"__NA__",1,1,"__NA__",3,"__NA__",3,3,2,1,0,0,1,0,1,1,0,0,"__NA__",2,4,2,1,1,"__NA__",1,1,1,2,1,2,3,2,"__NA__",7,3,1,"__NA__",1,0,0,0,0,0,2,9,"__NA__",2,6,0.6139
840,39,2,3,1,,39,2,3,1950,5,2,1,2,6,5,2,1,,,,2,,1,,,,2,1,,,1,,2,,,1,2,,,,2,,1,,,2,,,,1,2,1,,,,2,,1,,,,2,,1,,2,1,,,,,,2,1,,,2,1,,,,2,,,1,,2,,,1,2,,1,,,2,,,,1,4,0,11,4,0,0,13,17,0,13,13,5,4,6,0,0,5,5,2,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,5,3,0,0,0,0,0,0,0,1,"__NA__",1,5,3,2,1,"__NA__",1,1,1,2,2,2,5,3,"__NA__",2,1,5,"__NA__",0,0,0,0,1,0,2,1,"__NA__",1,1,1.3975
840,12,3,5,1,,12,3,5,1954,5,2,1,2,8,5,2,,,,1,,,,2,1,,2,1,,,,2,1,,,2,,,1,,2,,1,,,2,,,,1,2,,,,1,2,,1,,,,2,1,,,,2,,,1,2,,,1,,,2,1,,,,,2,,1,1,2,,,,2,,,1,,,2,,,1,0,0,0,0,0,0,0,20,20,0,0,0,0,0,60,0,0,0,1,1,2,"__NA__",1,2,"__NA__",3,"__NA__",5,3,3,2,0,0,0,0,1,1,0,0,"__NA__",1,6,4,2,7,"European-American",4,1,2,2,1,2,1,2,"__NA__",10,4,5,"__NA__",0,0,0,0,1,0,1,10,"__NA__",2,6,0.6619
840,42,1,2,1,,42,1,2,1940,5,2,1,2,10,5,,2,1,,,2,,,,1,,2,,,1,2,1,,,,2,,,1,,2,,,,1,2,,1,,,2,,,1,,2,,1,,,,,2,1,,,2,,,1,2,1,,,,,2,1,,,1,2,,,,,2,,1,,2,1,,,,,,1,,2,0,4,0,0,0,0,0,29,21,6,4,0,0,5,26,5,0,0,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,4,3,0,0,1,0,1,0,0,0,"__NA__",1,5,3,2,1,"__NA__",1,1,1,2,1,2,1,1,"__NA__",8,3,5,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,2,1.233
840,47,3,6,1,,47,3,6,1971,3,2,1,2,10,5,2,,,,1,,2,1,,,,2,1,,,,2,,,1,2,,,1,,2,,,,1,,,2,,1,,2,,,1,2,,1,,,2,,1,,,,2,1,,,2,,,1,,2,,,,1,,1,2,,,,,,2,1,1,2,,,,,,2,,1,0,0,0,0,0,10,30,20,0,0,0,0,0,0,40,0,0,0,1,1,2,"__NA__",1,2,"__NA__",3,"__NA__",5,3,5,3,0,0,0,0,0,0,0,1,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,1,2,1,3,"__NA__",7,3,6,"__NA__",0,0,0,0,1,0,2,1,"__NA__",1,2,1.2207
840,42,1,2,1,,42,1,2,1949,5,2,1,2,10,5,,2,,1,,1,,,2,,2,,1,,,,,,1,2,,2,,1,,,1,,2,,1,,2,,,,1,,,2,2,,1,,,,,2,1,,1,,,2,,2,,,1,,,2,,1,,1,,2,,,,2,1,,,2,,,1,,,2,,,1,0,0,0,0,14,0,0,51,0,3,0,0,0,0,27,0,0,5,1,1,2,"__NA__",1,2,"__NA__",2,"__NA__",7,2,4,3,0,0,0,0,0,0,0,1,"__NA__",2,5,3,2,1,"__NA__",1,1,1,2,1,2,1,2,"__NA__",8,3,5,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,1,1.2887
840,36,1,2,1,,36,1,2,1928,5,2,1,1,10,4,,1,,,2,,2,1,,,,2,1,,,1,2,,,,1,2,,,,2,1,,,,,1,2,,,,1,2,,,2,1,,,,1,2,,,,,1,,,2,2,,,1,,2,,1,,,1,,,,2,1,2,,,,2,,1,,,2,,,,1,0,3,0,0,3,0,5,0,0,41,41,0,7,0,0,0,0,0,4,1,6,"__NA__",1,2,"__NA__",3,"__NA__",4,3,3,2,0,0,0,0,0,0,0,1,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,1,2,4,1,"__NA__",11,4,5,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,3,0.4446
840,55,2,3,1,,55,2,3,1955,4,2,3,1,8,3,,1,2,,,1,,,2,,,1,,,2,,1,,2,,2,,1,,,,,1,,2,1,,,,2,,2,1,,,,,1,2,,,2,,1,,1,,2,,,,,,2,1,1,,,,2,1,,,2,,,1,2,,,1,2,,,,1,,,2,,21,0,17,0,15,0,0,13,13,0,0,0,0,7,9,5,0,0,4,1,1,"__NA__",1,6,"__NA__",1,"__NA__",1,1,3,2,0,0,0,0,0,0,0,1,"__NA__",2,4,2,1,1,"__NA__",1,1,1,2,1,2,1,3,"__NA__",3,1,6,"__NA__",0,0,0,0,1,0,2,2,"__NA__",2,6,0.7496
840,1,3,6,1,,1,3,6,1958,4,2,1,1,10,2,2,1,,,,1,,,2,,1,,,,2,1,,,2,,1,,2,,,1,,,2,,,,1,2,,,1,,2,,1,2,,,,,1,,2,,,1,,2,,1,,2,,,,,1,,2,,,1,,2,,,2,1,,,1,,2,,,,1,2,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,"__NA__",1,1,"__NA__",3,"__NA__",3,3,3,2,0,0,1,0,1,1,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,1,1,1,2,"__NA__",11,4,6,"__NA__",0,0,0,0,1,0,1,11,"__NA__",2,5,0.8088
840,25,1,1,1,,25,1,1,1998,1,2,1,1,9,2,1,,,2,,,1,,2,,,1,,2,,,,1,,2,1,2,,,,,1,,,2,,,1,,2,,,1,,2,1,,,,2,1,,,2,,,1,,,2,1,,,,2,,,1,2,,,1,,,2,,1,,,2,1,,,2,,,2,1,,,7,5,5,10,5,10,1,5,5,5,5,5,10,0,2,10,10,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",1,1,1,1,1,0,1,1,1,0,1,0,"worked for a politician",2,3,2,1,1,"__NA__",1,1,1,2,2,2,5,2,"__NA__",10,4,6,"__NA__",0,0,0,0,1,0,1,2,"__NA__",2,5,2.0573
840,47,3,6,1,,47,3,6,1949,5,2,1,1,10,1,1,2,,,,,1,,2,,,,,1,2,1,2,,,,,2,1,,,,1,,2,,,,,1,2,2,1,,,,1,,,2,,1,2,,,,,1,,2,,1,,,,2,,2,,,1,2,,1,,,1,,,,2,,2,,,1,1,2,,,,5,0,0,0,0,5,0,12,10,5,5,0,22,9,10,12,0,5,4,1,1,"__NA__",1,1,"__NA__",3,"__NA__",3,3,2,1,1,0,1,0,1,1,0,0,"__NA__",1,5,3,2,1,"__NA__",1,1,1,2,1,2,3,3,"__NA__",4,2,5,"__NA__",0,0,0,0,1,0,1,1,"__NA__",1,4,1.1535
840,41,4,9,1,,41,4,9,1986,2,2,3,1,5,2,,1,,,2,2,1,,,,,1,,,2,,1,,,2,,,1,,2,,,,1,2,2,,,1,,1,,,,2,1,2,,,,2,1,,,,2,,,1,,1,2,,,,1,,,,2,2,,1,,,,1,,,2,1,,,2,,,1,,2,,0,0,0,8,25,15,0,0,0,0,0,5,25,5,0,15,2,0,4,1,1,"__NA__",1,1,"__NA__",3,"__NA__",3,3,1,1,0,0,0,0,0,0,0,1,"__NA__",2,3,2,1,1,"__NA__",1,1,1,2,1,1,1,2,"__NA__",5,2,7,"__NA__",0,0,0,0,1,0,1,10,"__NA__",2,6,1.1952
840,6,4,9,1,,6,4,9,1943,5,2,1,1,10,2,,1,,,2,,,1,,2,,1,2,,,,2,1,,,1,,,2,,,2,1,,,,,1,,2,1,,,,2,1,,,,2,2,,1,,,1,,,,2,1,,,2,,2,1,,,,,1,,,2,2,1,,,,1,,2,,,2,,1,,,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,"__NA__",1,1,"__NA__",1,"__NA__",2,1,2,1,0,0,0,0,1,0,0,0,"__NA__",2,6,4,2,1,"__NA__",1,1,1,2,1,2,3,1,"__NA__",2,1,5,"__NA__",0,0,0,0,1,0,1,11,"__NA__",2,6,0.6372
